Type,SKU,Name,Published,Visibility in catalog,Short description,Tax status,In stock?,Regular price,Categories,Tags
simple,PBV-BPC-157-20MG,BPC-157 20mg Vial,1,visible,Research-use peptide vial.,taxable,1,170.00,Peptides,vial
simple,PBV-AOD-9604,AOD-9604 Vial,1,visible,Research-use peptide vial.,taxable,1,110.00,Peptides,vial
simple,PBV-MELONOTAN,Melonotan Vial,1,visible,Research-use peptide vial.,taxable,1,85.00,Peptides,vial
simple,PBV-NAD-1,NAD+ 1000mg Vial,1,visible,Research-use peptide vial.,taxable,1,120.00,Peptides,vial
simple,PBV-NAD-500MG,NAD+ 500mg Vial,1,visible,Research-use peptide vial.,taxable,1,90.00,Peptides,vial
simple,PBV-TA-1,TA-1 Vial,1,visible,Research-use peptide vial.,taxable,1,110.00,Peptides,vial
