creation_id,compound_name,printed_name,mg,conc,vol,len_before,len_after
PBVita-Lab-457,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5847,6623
PBVita-Lab-083,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5792,6534
PBVita-Lab-115,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,6011,6807
PBVita-Lab-059,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5949,6761
PBVita-Lab-121,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5893,6684
PBVita-Lab-357,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5784,6557
PBVita-Lab-467,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5943,6716
PBVita-Lab-188,TB-500,TB-500,10mg,1 mg/ml,10ml,4156,4873
PBVita-Lab-021,SS-31,SS-31,10mg,1 mg/ml,10ml,5759,6530
PBVita-Lab-150,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5636,6362
PBVita-Lab-178,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5714,6486
PBVita-Lab-084,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5813,6585
PBVita-Lab-500,NAD+,NAD+,1000mg,100 mg/ml,10ml,5730,6508
PBVita-Lab-060,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5832,6608
PBVita-Lab-122,Selank,Selank,10mg,1 mg/ml,10ml,4088,4805
PBVita-Lab-358,TA-1,TA-1,10mg,1 mg/ml,10ml,5867,6637
PBVita-Lab-468,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5965,6742
PBVita-Lab-239,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5730,6454
