creation_id,compound_name,printed_name,mg,conc,vol,len_before,len_after
PBVita-Lab-272,BPC-157,BPC-157,20mg,2 mg/ml,10ml,4178,4894
PBVita-Lab-393,TB-500,TB-500,10mg,1 mg/ml,10ml,5776,6502
PBVita-Lab-273,SS-31,SS-31,10mg,1 mg/ml,10ml,5954,6725
PBVita-Lab-376,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5873,6647
PBVita-Lab-274,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5814,6586
PBVita-Lab-171,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,4076,4793
PBVita-Lab-501,Semax,Semax,10mg,1 mg/ml,10ml,5974,6702
PBVita-Lab-502,Semax,Semax,10mg,1 mg/ml,10ml,5814,6497
PBVita-Lab-503,Semax,Semax,10mg,1 mg/ml,10ml,5702,6385
PBVita-Lab-504,Semax,Semax,10mg,1 mg/ml,10ml,5700,6383
PBVita-Lab-505,Semax,Semax,10mg,1 mg/ml,10ml,5697,6380
PBVita-Lab-506,PT-141,PT-141,20mg,2 mg/ml,10ml,5873,6602
PBVita-Lab-507,PT-141,PT-141,20mg,2 mg/ml,10ml,5722,6405
PBVita-Lab-508,PT-141,PT-141,20mg,2 mg/ml,10ml,5831,6560
PBVita-Lab-509,PT-141,PT-141,20mg,2 mg/ml,10ml,5742,6425
PBVita-Lab-510,PT-141,PT-141,20mg,2 mg/ml,10ml,5678,6361
PBVita-Lab-511,Melanotan II,Melanotan II,10mg,1 mg/ml,10ml,5854,6589
PBVita-Lab-512,Melanotan II,Melanotan II,10mg,1 mg/ml,10ml,5862,6597
PBVita-Lab-513,Melanotan II,Melanotan II,10mg,1 mg/ml,10ml,5934,6669
PBVita-Lab-514,Melanotan II,Melanotan II,10mg,1 mg/ml,10ml,5753,6436
PBVita-Lab-515,Melanotan II,Melanotan II,10mg,1 mg/ml,10ml,5764,6447
PBVita-Lab-516,KPV,KPV,10mg,1 mg/ml,10ml,5701,6384
PBVita-Lab-517,KPV,KPV,10mg,1 mg/ml,10ml,5906,6632
PBVita-Lab-518,KPV,KPV,10mg,1 mg/ml,10ml,5784,6467
PBVita-Lab-519,KPV,KPV,10mg,1 mg/ml,10ml,5929,6655
PBVita-Lab-520,KPV,KPV,10mg,1 mg/ml,10ml,5586,6269
PBVita-Lab-521,CJC-1295,CJC,10mg,1 mg/ml,10ml,5660,6386
PBVita-Lab-522,CJC-1295,CJC,10mg,1 mg/ml,10ml,5721,6404
PBVita-Lab-523,CJC-1295,CJC,10mg,1 mg/ml,10ml,5839,6565
PBVita-Lab-524,CJC-1295,CJC,10mg,1 mg/ml,10ml,5538,6221
PBVita-Lab-525,CJC-1295,CJC,10mg,1 mg/ml,10ml,5754,6437
PBVita-Lab-526,Ipamorelin-Solo,Ipamorelin,10mg,1 mg/ml,10ml,5573,6256
PBVita-Lab-527,Ipamorelin-Solo,Ipamorelin,10mg,1 mg/ml,10ml,5784,6467
PBVita-Lab-528,Ipamorelin-Solo,Ipamorelin,10mg,1 mg/ml,10ml,5727,6410
PBVita-Lab-529,Ipamorelin-Solo,Ipamorelin,10mg,1 mg/ml,10ml,5897,6630
PBVita-Lab-530,Ipamorelin-Solo,Ipamorelin,10mg,1 mg/ml,10ml,5735,6418
PBVita-Lab-531,Tesa-Ipa,Tesamorelin/Ipamorelin,12mg/3mg,,10ml,6052,6733
PBVita-Lab-532,Tesa-Ipa,Tesamorelin/Ipamorelin,12mg/3mg,,10ml,5781,6462
PBVita-Lab-533,Tesa-Ipa,Tesamorelin/Ipamorelin,12mg/3mg,,10ml,5951,6570
PBVita-Lab-534,Tesa-Ipa,Tesamorelin/Ipamorelin,12mg/3mg,,10ml,5943,6624
PBVita-Lab-535,Tesa-Ipa,Tesamorelin/Ipamorelin,12mg/3mg,,10ml,5869,6488
